=== TABLE: ai_code_hashes ===
hash      source    fileExtension  fileName                                                         requestId  conversationId                        timestamp      createdAt    
--------  --------  -------------  ---------------------------------------------------------------  ---------  ------------------------------------  -------------  -------------
1e3a5107  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
e233f193  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
28a328f7  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
497be2ea  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
daecca44  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
fe665729  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
da650641  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
9cbfe496  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
7f634fc0  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
ff9e0860  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
e073d661  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
ed4bc79a  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
6d99883a  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
f0f205e9  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
e9462f27  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
37eb3c06  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
843b9d1c  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
b513f067  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
1493d9e6  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
973598d5  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
189d0e58  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
e112d179  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
732d7b3a  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
f6a40977  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
d4c98f32  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
687d4c7d  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
9303082   composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
53eb107b  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
e5a9cc85  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
ccc4d3a3  composer  yml            /c:/masm64-framework/.github/ISSUE_TEMPLATE/bug_report.yml                  36c42e2b-9a84-4196-aae0-7001c138d639  1768353264748  1768353264748
